GCA_000402835.1	117550/101/2
GCA_000403035.1	117550/105/2
GCA_000403215.2	117550/1691/2
GCA_000403255.2	117550/1713/2
GCA_000403275.2	117550/1721/2
GCA_000403295.2	117550/1742/2
GCA_000403315.2	117550/1752/2
GCA_000403335.2	117550/1774/2
GCA_000403415.2	117550/1329/2
GCA_000403475.2	117550/1361/2
GCA_000403495.2	117550/1394/2
GCA_000403945.1	117550/107/2
GCA_000404785.1	117550/35/2
GCA_000405225.1	117549/1302/2
GCA_000405245.1	117549/1308/2
GCA_000405345.1	117550/41/2
GCA_000405605.1	117550/47/2
GCA_000405805.1	117550/53/2
GCA_000405945.1	117550/59/2
GCA_000406005.1	117550/65/2
GCA_000413015.1	117550/1424/2
GCA_000415505.1	117550/1455/2
GCA_000415965.1	117549/1296/2
GCA_000415985.1	117549/1312/2
GCA_000416005.1	117549/1321/2
GCA_000416085.1	117549/1334/2
GCA_000416275.1	117551/82/2
GCA_000416315.1	117551/89/2
GCA_000419465.1	117550/71/2
GCA_000419545.1	117550/77/2
GCA_000421005.1	117550/1485/2
GCA_000421045.1	117550/1511/2
GCA_000421065.1	117550/1541/2
GCA_000421085.1	117550/1576/2
GCA_000421325.1	117550/83/2
GCA_000424365.1	117550/1610/2
GCA_000426125.1	117550/1640/2
GCA_000428345.2	117550/89/2
GCA_000428385.1	117550/95/2
GCA_000430305.1	117550/1672/2
GCA_000431015.1	117551/102/2
GCA_000431075.1	117551/108/2
GCA_000431135.1	117551/119/2
GCA_000431155.1	117551/125/2
GCA_000431215.1	117551/136/2
GCA_000431235.1	117551/143/2
GCA_000431275.1	117551/154/2
GCA_000431315.1	117551/160/2
GCA_000431335.1	117551/173/2
GCA_000431495.1	117551/179/2
GCA_000431515.1	117551/191/2
GCA_000431535.1	117551/197/2
GCA_000431775.1	117551/208/2
GCA_000431795.1	117551/214/2
GCA_000431815.1	117551/226/2
GCA_000431835.1	117551/232/2
GCA_000431975.1	117551/244/2
GCA_000432015.1	117551/22/2
