GCA_000381605.1	117550/1619/4
GCA_000381625.1	117550/1628/4
GCA_000383115.1	117550/63/4
GCA_000383295.1	117550/1649/4
GCA_000383355.1	117550/67/4
GCA_000383715.1	117550/69/4
GCA_000383735.1	117550/73/4
GCA_000383815.1	117550/75/4
GCA_000383895.1	117550/1660/4
GCA_000384495.1	117550/79/4
GCA_000384615.1	117550/81/4
GCA_000384935.1	117550/85/4
GCA_000385055.1	117550/87/4
GCA_000385635.1	117550/91/4
GCA_000385835.1	117550/1682/4
GCA_000387965.1	117549/1254/4
GCA_000389735.1	117549/1263/4
GCA_000398025.1	117550/93/4
GCA_000402075.1	117549/1271/4
GCA_000402295.1	117550/97/4
GCA_000402355.1	117549/1279/4
GCA_000402515.1	117549/1287/4
GCA_000402655.1	117550/23/4
GCA_000402755.1	117550/29/4
GCA_000402775.1	117549/1295/4
GCA_000402815.1	117550/99/4
GCA_000402835.1	117550/101/4
GCA_000403035.1	117550/105/4
GCA_000403215.2	117550/1691/4
GCA_000403255.2	117550/1713/4
GCA_000403275.2	117550/1721/4
GCA_000403295.2	117550/1742/4
GCA_000403315.2	117550/1752/4
GCA_000403335.2	117550/1774/4
GCA_000403415.2	117550/1329/4
GCA_000403475.2	117550/1361/4
GCA_000403495.2	117550/1394/4
GCA_000403945.1	117550/107/4
GCA_000404785.1	117550/35/4
GCA_000405225.1	117549/1302/4
GCA_000405245.1	117549/1308/4
GCA_000405345.1	117550/41/4
GCA_000405605.1	117550/47/4
GCA_000405685.1	117552/7/4
GCA_000405805.1	117550/53/4
GCA_000405945.1	117550/59/4
GCA_000406005.1	117550/65/4
GCA_000410515.1	117553/169/4
GCA_000411155.1	117553/176/4
GCA_000411415.1	117553/180/4
GCA_000413015.1	117550/1424/4
GCA_000415185.1	117553/188/4
GCA_000415505.1	117550/1455/4
GCA_000415965.1	117549/1296/4
GCA_000415985.1	117549/1312/4
GCA_000416005.1	117549/1321/4
GCA_000416085.1	117549/1334/4
GCA_000416275.1	117551/82/4
GCA_000416315.1	117551/89/4
GCA_000419465.1	117550/71/4
GCA_000419545.1	117550/77/4
GCA_000420445.1	117553/31/4
GCA_000421005.1	117550/1485/4
GCA_000421045.1	117550/1511/4
GCA_000421065.1	117550/1541/4
GCA_000421085.1	117550/1576/4
GCA_000421325.1	117550/83/4
GCA_000423665.1	117553/46/4
GCA_000424365.1	117550/1610/4
GCA_000426065.1	117553/193/4
GCA_000426125.1	117550/1640/3
GCA_000428345.2	117550/89/3
GCA_000428385.1	117550/95/3
GCA_000430305.1	117550/1672/4
GCA_000431015.1	117551/102/4
GCA_000431075.1	117551/108/4
GCA_000431135.1	117551/119/4
GCA_000431155.1	117551/125/4
GCA_000431215.1	117551/136/4
GCA_000431235.1	117551/143/4
GCA_000431275.1	117551/154/4
GCA_000431315.1	117551/160/4
GCA_000431335.1	117551/173/4
GCA_000431495.1	117551/179/4
GCA_000431515.1	117551/191/4
GCA_000431535.1	117551/197/4
GCA_000431775.1	117551/208/4
GCA_000431795.1	117551/214/4
GCA_000431815.1	117551/226/4
GCA_000431835.1	117551/232/4
GCA_000431975.1	117551/244/4
GCA_000432015.1	117551/22/4
GCA_000432135.1	117551/41/4
GCA_000432155.1	117551/250/4
GCA_000432175.1	117551/256/4
GCA_000432255.1	117551/268/4
GCA_000432275.1	117551/274/4
GCA_000432335.1	117551/58/4
GCA_000432375.1	117551/76/4
GCA_000432435.1	117551/96/4
GCA_000432515.1	117551/113/4
GCA_000432575.1	117551/131/4
GCA_000432595.1	117551/149/4
GCA_000432655.1	117551/166/4
GCA_000432735.1	117551/185/4
GCA_000432775.1	117551/203/4
GCA_000432835.1	117551/220/4
GCA_000432855.1	117551/238/4
GCA_000432895.1	117551/262/4
GCA_000432915.1	117551/5/4
GCA_000432995.1	117551/280/4
GCA_000433015.1	117551/292/4
GCA_000433035.1	117551/298/4
GCA_000433095.1	117551/311/4
GCA_000433115.1	117551/317/4
GCA_000433135.1	117551/328/4
GCA_000433175.1	117551/333/4
GCA_000433255.1	117551/345/4
GCA_000433315.1	117551/351/4
GCA_000433335.1	117551/363/4
GCA_000433355.1	117551/369/4
GCA_000433415.1	117551/381/4
GCA_000433455.1	117551/387/4
GCA_000433475.1	117551/397/4
GCA_000433515.1	117551/404/4
GCA_000433535.1	117551/416/4
GCA_000433635.1	117551/422/4
GCA_000433675.1	117551/433/4
GCA_000433735.1	117551/439/4
GCA_000433755.1	117551/451/4
GCA_000433775.1	117551/458/4
GCA_000433875.1	117551/469/4
GCA_000433915.1	117551/475/4
GCA_000433975.1	117551/488/4
GCA_000434015.1	117551/493/4
GCA_000434035.1	117551/505/4
GCA_000434055.1	117551/511/4
GCA_000434115.1	117551/522/4
GCA_000434175.1	117551/530/4
GCA_000434195.1	117551/539/4
GCA_000434215.1	117551/545/4
GCA_000434235.1	117551/557/4
GCA_000434295.1	117551/304/4
GCA_000434335.1	117551/323/4
GCA_000434395.1	117551/339/4
GCA_000434435.1	117551/357/4
GCA_000434475.1	117551/375/4
GCA_000434535.1	117551/392/4
GCA_000434555.1	117551/409/4
GCA_000434615.1	117551/427/4
GCA_000434635.1	117551/446/4
GCA_000434675.1	117551/463/4
GCA_000434695.1	117551/482/4
GCA_000434735.1	117551/498/4
GCA_000434775.1	117551/517/4
GCA_000434835.1	117551/534/4
GCA_000434895.1	117551/551/4
GCA_000434915.1	117551/286/4
GCA_000434935.1	117551/570/4
GCA_000434995.1	117551/576/4
GCA_000435055.1	117551/588/4
GCA_000435075.1	117551/594/4
GCA_000435175.1	117551/607/4
GCA_000435195.1	117551/613/4
GCA_000435275.1	117551/623/4
GCA_000435335.1	117551/629/4
GCA_000435395.1	117551/641/4
GCA_000435475.1	117551/647/4
GCA_000435495.1	117551/658/4
GCA_000435515.1	117551/664/4
GCA_000435535.1	117551/674/4
GCA_000435555.1	117551/681/4
GCA_000435595.1	117551/694/4
GCA_000435615.1	117551/700/4
GCA_000435635.1	117551/711/4
GCA_000435675.1	117551/716/4
GCA_000435715.1	117551/729/4
GCA_000435755.1	117551/734/4
GCA_000435835.1	117551/746/4
GCA_000435975.1	117551/754/4
GCA_000436035.1	117551/765/4
GCA_000436075.1	117551/770/4
GCA_000436095.1	117551/783/4
GCA_000436115.1	117551/789/4
GCA_000436255.1	117551/801/4
GCA_000436335.1	117551/807/4
GCA_000436375.1	117551/819/4
GCA_000436475.1	117551/826/4
GCA_000436495.1	117551/837/4
GCA_000436535.1	117551/582/4
GCA_000436695.1	117551/599/4
GCA_000436735.1	117551/617/4
GCA_000436755.1	117551/635/4
GCA_000436795.1	117551/652/4
GCA_000436835.1	117551/669/4
GCA_000436875.1	117551/686/4
GCA_000436915.1	117551/706/4
GCA_000436975.1	117551/722/4
GCA_000437175.1	117551/740/4
GCA_000437215.1	117551/759/4
GCA_000437235.1	117551/777/4
GCA_000437255.1	117551/795/4
GCA_000437275.1	117551/813/4
GCA_000437315.1	117551/831/4
GCA_000437355.1	117551/564/4
GCA_000437375.1	117551/849/4
GCA_000437395.1	117551/854/4
GCA_000437435.1	117551/867/4
GCA_000437495.1	117551/873/4
GCA_000437515.1	117551/885/4
GCA_000437555.1	117551/890/4
GCA_000437595.1	117551/899/4
GCA_000437635.1	117551/905/4
GCA_000437675.1	117551/916/4
GCA_000437735.1	117551/922/4
GCA_000437755.1	117551/936/4
GCA_000437795.1	117551/942/4
GCA_000437855.1	117551/954/4
GCA_000437895.1	117551/959/4
GCA_000437915.1	117551/971/4
GCA_000438015.1	117551/977/4
GCA_000438075.1	117551/989/4
GCA_000438115.1	117551/995/4
GCA_000438155.1	117551/1007/4
GCA_000438175.1	117551/1013/4
GCA_000438195.1	117551/1025/4
GCA_000438255.1	117551/1032/4
GCA_000438295.1	117551/1044/4
GCA_000438355.1	117551/1050/4
GCA_000438415.1	117551/1061/4
GCA_000438985.1	117550/103/3
GCA_000439025.2	117550/17/3
GCA_000440235.1	117550/1702/4
GCA_000445185.1	117551/1069/4
GCA_000447245.1	117551/1082/4
GCA_000466405.1	117553/197/4
GCA_000466585.1	117550/1730/4
GCA_000467935.1	117550/1763/4
GCA_000468055.1	117553/205/4
GCA_000470535.1	117550/1297/4
GCA_000471045.1	117550/1791/4
GCA_000471925.1	117550/1801/4
GCA_000472185.1	117550/1824/4
GCA_000473305.1	117550/1837/4
GCA_000474255.1	117553/210/4
GCA_000482765.1	117550/1860/4
GCA_000484975.1	117549/1315/3
GCA_000485475.1	117550/109/4
GCA_000485495.1	117550/113/3
GCA_000488855.1	117550/1869/4
GCA_000492175.1	117550/1889/3
GCA_000492175.2	117553/61/4
GCA_000493945.1	117550/115/4
GCA_000493965.1	117550/119/4
GCA_000494145.1	117549/1323/4
GCA_000494185.1	117549/1331/4
GCA_000494225.1	117550/121/4
GCA_000495415.1	117553/9/4
GCA_000495505.1	117550/1899/4
GCA_000495735.1	117549/1342/4
GCA_000496135.1	117549/1358/4
GCA_000496175.1	117549/1367/4
GCA_000496195.1	117549/1383/4
GCA_000496215.1	117549/1390/4
GCA_000496235.1	117549/1406/4
GCA_000496475.1	117550/1920/4
GCA_000497405.1	117550/1930/4
GCA_000497835.1	117550/1952/4
GCA_000499765.1	117549/5250/5
GCA_000500915.1	117551/1088/4
GCA_000503195.1	117551/1100/4
GCA_000503835.1	117551/1107/4
GCA_000503875.1	117551/1118/4
GCA_000503915.1	117551/861/4
GCA_000504425.1	117553/75/4
GCA_000504605.1	117550/125/4
GCA_000504625.1	117550/127/4
GCA_000505065.1	117551/879/4
GCA_000508305.1	117549/5267/4
GCA_000508625.1	117551/895/4
GCA_000508865.1	117550/1963/4
GCA_000508985.1	117550/1985/4
GCA_000509105.1	117550/1995/4
GCA_000509125.1	117550/2021/4
GCA_000509225.1	117550/2031/4
GCA_000510425.1	117550/2050/4
GCA_000510845.1	117550/131/4
GCA_000511875.1	117550/2058/4
GCA_000512675.1	117551/910/4
GCA_000513055.1	117550/133/4
GCA_000513075.1	117550/137/4
GCA_000513555.1	117550/2077/4
GCA_000514715.1	117553/87/4
GCA_000517005.1	117550/2087/4
GCA_000517385.1	117550/2111/3
GCA_000517565.1	117550/2121/4
GCA_000518365.1	117550/2142/3
GCA_000518865.1	117553/99/4
GCA_000521215.1	117553/113/4
GCA_000521465.1	117550/2153/3
GCA_000522425.1	117551/928/4
GCA_000525025.1	117550/2175/4
GCA_000525655.1	117550/2184/4
GCA_000525675.1	117553/125/4
GCA_000526255.1	117550/2203/4
GCA_000526415.1	117550/2213/4
GCA_000526435.1	117550/2234/4
GCA_000526575.1	117553/137/4
GCA_000531095.1	117550/2247/4
GCA_000564995.1	117553/150/4
GCA_000565255.1	117549/1413/4
GCA_000565345.1	117550/2268/4
GCA_000583135.1	117553/162/4
GCA_000585015.1	117551/948/4
GCA_000585055.1	117551/966/4
GCA_000585075.1	117551/983/4
GCA_000586315.1	117550/1814/3
GCA_000586435.1	117550/1846/4
GCA_000597885.1	117550/1879/4
GCA_000612485.1	117550/1909/4
GCA_000613065.1	117550/1941/4
GCA_000613385.1	117550/1973/4
GCA_000613465.1	117550/2010/4
GCA_000619965.1	117550/2039/4
GCA_000620005.1	117553/173/4
GCA_000620185.1	117550/2066/4
GCA_000620205.1	117550/2099/4
GCA_000620545.1	117550/2130/4
GCA_000620725.1	117550/2162/3
GCA_000620945.1	117550/2193/4
GCA_000621185.1	117550/2223/4
GCA_000621405.1	117550/2259/4
GCA_000621425.1	117550/1782/4
GCA_000621765.1	117550/2286/4
